id,interaction_log_id,bot_message_id,reply_text,answer_kind,plan_type,fallback_used,weak_or_offtopic,validation_ok,mismatch_blocked,pipeline_sources,created_at
1,1,30,Welcome! I am your academic advisor for Business Administration. I can help you understand what this programme offers and how it might fit your career goals.,greet,GREET,false,false,true,false,"[""app_users"",""major_chat_context""]","""2026-04-17T13:50:49.349Z"""
2,2,32,"Here is what I can tell you about Business Administration:

Business Administration covers strategy, operations, and leadership skills. For course requirements, check the official faculty page.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T13:50:57.332Z"""
3,3,34,"Here is what I can tell you about Business Administration:

I do not have admission average details for Business Administration right now. I would recommend checking with the admissions office for the most up-to-date numbers.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T13:51:19.246Z"""
4,4,36,"Here is what I know about Computer Science:

Hardware-software systems, embedded computing, and computer architecture.

In terms of difficulty, this programme is quite demanding — it requires strong dedication and consistent hard work.

The admission average is typically between 80 and 90.

This programme is ABET accredited.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T13:51:54.375Z"""
5,5,38,"Here is what I know about Computer Science:

Hardware-software systems, embedded computing, and computer architecture.

In terms of difficulty, this programme is quite demanding — it requires strong dedication and consistent hard work.

The admission average is typically between 80 and 90.

This programme is ABET accredited.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T13:52:11.631Z"""
6,6,40,"Here are the admission averages I have on file for this programme:

• هندسة الحاسوب: you would typically need an average of 80–90 (approximate) (scientific stream).
• هندسة علوم المواد: you would typically need an average of not available at the moment (approximate) (scientific stream).


Please note: some of the figures above are approximate and may differ from the latest official numbers.",engineering_acceptance,ENGINEERING_ACCEPTANCE_QUERY,false,false,true,false,"[""engineering_programs""]","""2026-04-17T13:52:29.986Z"""
7,7,42,"هاي المعلومات اللي عندي عن Computer Science:

Computer Science صعب — بتطلب التزام قوي وجهد مستمر.

للعلم، معدل القبول عادةً بين 80 و 90، وهاد بيعطيك فكرة عن المستوى الأكاديمي المتوقع.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T13:52:50.944Z"""
8,8,44,"هاي المعلومات اللي عندي عن Computer Science:

Computer Science بغطي مواضيع مثل: computer, embedded, hardware, software. إذا بتحب هالمجالات، رح تستمتع بالمواد.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T13:54:42.015Z"""
9,9,46,"Here is what I know about Computer Science:

Computer Science is considered quite demanding — it requires strong dedication and consistent hard work.

For context, the admission average is typically between 80 and 90, which can give you a sense of the academic expectations.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T13:58:19.277Z"""
10,10,48,"هاي المعلومات اللي عندي عن Computer Science:

أنظمة العتاد والبرمجيات والحوسبة المضمنة ومعمارية الحاسوب.

من ناحية الصعوبة، هالبرنامج صعب — بتطلب التزام قوي وجهد مستمر.

معدل القبول عادةً بين 80 و 90.

هالبرنامج حاصل على اعتماد ABET.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T13:59:36.459Z"""
11,11,50,"ما عندي معلومات كافية عشان أجاوبك على هالسؤال حالياً. جرّب تعيد صياغته، أو اسألني عن شي محدد مثل تخصص أو فعالية أو مجتمع. إذا كنت على صفحة برنامج، اسألني عن نفس البرنامج مباشرة.

بما إنك على صفحة Computer Science، بقدر أجاوبك عن هالتخصص — اسألني أي شيء عنه.

ممكن تجرّب: «هل هالتخصص صعب؟»، «فيه رياضيات كثير؟»، «شو مستوى التنافس؟».",not_in_database,ENGINEERING_ACCEPTANCE_QUERY,true,true,true,false,"[""engineering_programs""]","""2026-04-17T14:01:39.356Z"""
12,12,52,"Welcome! I am your academic advisor for Computer Science. Ask me about anything related to this programme — admission requirements, difficulty, career opportunities, or how it compares with other options.",greet,GREET,false,false,true,false,"[""app_users"",""major_chat_context""]","""2026-04-17T14:02:39.521Z"""
13,13,54,"هاي المعلومات اللي عندي عن Computer Science:

أنظمة العتاد والبرمجيات والحوسبة المضمنة ومعمارية الحاسوب.

من ناحية الصعوبة، هالبرنامج صعب — بتطلب التزام قوي وجهد مستمر.

معدل القبول عادةً بين 80 و 90.

هالبرنامج حاصل على اعتماد ABET.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T14:04:21.401Z"""
14,14,56,"هاي المعلومات اللي عندي عن Computer Science:

أنظمة العتاد والبرمجيات والحوسبة المضمنة ومعمارية الحاسوب.

من ناحية الصعوبة، هالبرنامج صعب — بتطلب التزام قوي وجهد مستمر.

معدل القبول عادةً بين 80 و 90.

هالبرنامج حاصل على اعتماد ABET.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T14:04:31.903Z"""
15,15,58,"هاي المعلومات اللي عندي عن Computer Science:

أنظمة العتاد والبرمجيات والحوسبة المضمنة ومعمارية الحاسوب.

من ناحية الصعوبة، هالبرنامج صعب — بتطلب التزام قوي وجهد مستمر.

معدل القبول عادةً بين 80 و 90.

هالبرنامج حاصل على اعتماد ABET.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T14:04:46.156Z"""
16,16,60,"هاي المعلومات اللي عندي عن Computer Science:

من ناحية التنافس، Computer Science صعب — بتطلب التزام قوي وجهد مستمر.

يعني عدد المتقدمين مقارنة بالمقاعد المتاحة ممكن يأثر على صعوبة القبول.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T14:04:48.806Z"""
17,17,62,"هاي المعلومات اللي عندي عن Computer Science:

Computer Science بغطي مواضيع مثل: computer, embedded, hardware, software. إذا بتحب هالمجالات، رح تستمتع بالمواد.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T14:04:53.279Z"""
18,18,64,"هاي المعلومات اللي عندي عن Computer Science:

Computer Science صعب — بتطلب التزام قوي وجهد مستمر.

للعلم، معدل القبول عادةً بين 80 و 90، وهاد بيعطيك فكرة عن المستوى الأكاديمي المتوقع.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T14:04:54.844Z"""
19,19,66,"ما عندي معلومات كافية عشان أجاوبك على هالسؤال حالياً. جرّب تعيد صياغته، أو اسألني عن شي محدد مثل تخصص أو فعالية أو مجتمع. إذا كنت على صفحة برنامج، اسألني عن نفس البرنامج مباشرة.

بما إنك على صفحة Computer Science، بقدر أجاوبك عن هالتخصص — اسألني أي شيء عنه.

ممكن تجرّب: «هل هالتخصص صعب؟»، «فيه رياضيات كثير؟»، «شو مستوى التنافس؟».",not_in_database,ENGINEERING_ACCEPTANCE_QUERY,true,true,true,false,"[""engineering_programs""]","""2026-04-17T14:04:56.718Z"""
20,20,68,"Welcome! I am your academic advisor for Civil Engineering. I can tell you about admission, difficulty, career directions, and how this programme compares with other engineering options.",greet,GREET,false,false,true,false,"[""app_users"",""major_chat_context""]","""2026-04-17T15:35:28.524Z"""
21,21,70,"Here is what I know about Civil Engineering:

Civil Engineering is considered moderately challenging — it requires steady effort, especially in technical subjects.

For context, the admission average is typically between 70 and 78, which can give you a sense of the academic expectations.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T15:35:30.999Z"""
22,22,72,"هاي المعلومات اللي عندي عن Civil Engineering:

ما عندي معلومات تفصيلية عن الوظائف لـ Civil Engineering حالياً. بشكل عام، مكتب الكلية أو خدمات التوظيف بيقدروا يعطوك صورة أوضح.",major_advisor_snapshot,MAJOR_ADVISOR_SNAPSHOT,false,false,true,false,"[""majors"",""major_chat_context"",""engineering_programs""]","""2026-04-17T15:35:45.371Z"""