id,interaction_log_id,entities,created_at
1,1,"{""stream"":null,""average"":null,""category"":""business"",""programKey"":null,""pageMajorId"":""bus-mgmt"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:50:49.349Z"""
2,2,"{""stream"":null,""average"":null,""category"":""business"",""programKey"":null,""pageMajorId"":""bus-mgmt"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:50:57.332Z"""
3,3,"{""stream"":null,""average"":null,""category"":""business"",""programKey"":null,""pageMajorId"":""bus-mgmt"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:51:19.246Z"""
4,4,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:51:54.375Z"""
5,5,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:52:11.631Z"""
6,6,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:52:29.986Z"""
7,7,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:52:50.944Z"""
8,8,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[""رياضيات""],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:54:42.015Z"""
9,9,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""en"",""interestTerms"":[""math"",""mathematics""],""pageReference"":true,""comparisonPair"":null}","""2026-04-17T13:58:19.277Z"""
10,10,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T13:59:36.459Z"""
11,11,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:01:39.356Z"""
12,12,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:02:39.521Z"""
13,13,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:04:21.401Z"""
14,14,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:04:31.903Z"""
15,15,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:04:46.156Z"""
16,16,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:04:48.806Z"""
17,17,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[""رياضيات""],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:04:53.279Z"""
18,18,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:04:54.844Z"""
19,19,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""computer_engineering"",""pageMajorId"":""eng-cs"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T14:04:56.718Z"""
20,20,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""civil_engineering"",""pageMajorId"":""eng-ce"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T15:35:28.524Z"""
21,21,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""civil_engineering"",""pageMajorId"":""eng-ce"",""replyLocale"":""en"",""interestTerms"":[],""pageReference"":true,""comparisonPair"":null}","""2026-04-17T15:35:30.999Z"""
22,22,"{""stream"":null,""average"":null,""category"":""engineering"",""programKey"":""civil_engineering"",""pageMajorId"":""eng-ce"",""replyLocale"":""ar"",""interestTerms"":[],""pageReference"":false,""comparisonPair"":null}","""2026-04-17T15:35:45.371Z"""