id,name
1,Engineering & IT
2,Medicine & Health
3,Arts & Sciences
4,Business School
5,Law & Policy
6,Faculty of Medicine and Allied medical Sciences
7,Faculty of Engineering
8,Faculty of Dentistry & Dental Surgery
9,Faculty of Nursing
10,Faculty of Pharmacy
11,Faculty of Information Technology & Artificial Intelligence
12,Faculty of Science
13,Faculty of Shari'ah
14,Faculty of Humanities and Educational Sciences
15,Faculty of Business and Communication
16,Faculty of Veterinary Medicine and Agricultural Engineering
17,Faculty of Law and Political Sciences
18,Faculty of Fine Arts