id,tag_text,lang
1,كلية الهندسة,ar
2,كلية الهندسة وتكنولوجيا المعلومات,ar
3,هندسة النجاح,ar
4,جامعة النجاح,ar
5,جامعة النجاح الوطنية,ar
6,الأقسام,ar
7,البرامج,ar
8,المختبرات,ar
9,الورش,ar
10,المرافق,ar
11,البحث العلمي,ar
12,التدريب,ar
13,الاعتماد,ar
14,ABET,ar
15,نابلس,ar
16,Faculty of Engineering,en
17,Faculty of Engineering and Information Technology,en
18,Engineering Faculty,en
19,An-Najah Engineering,en
20,An-Najah National University,en
21,departments,en
22,programs,en
23,labs,en
24,laboratories,en
25,workshops,en
26,facilities,en
27,research,en
28,training,en
29,mission,en
30,achievements,en
31,ABET,en
32,accreditation,en
33,Nablus,en
67,Electrical and Computer Engineering,en
68,Industrial and Mechanical Engineering,en
69,Architectural and Civil Engineering,en
70,الهندسة الكهربائية,ar
71,هندسة الحاسوب,ar
72,الهندسة الصناعية,ar
73,الهندسة الميكانيكية,ar
74,الهندسة المعمارية,ar
75,الهندسة المدنية,ar
76,ورش هندسية,ar
77,مختبرات هندسية,ar
78,engineering education,en
79,community engagement,en
80,industry partnership,en
81,New Campus,en
82,Al-Junaid,en
83,الحرم الجديد,ar
84,الجنيد,ar